,y
0,77.0
1,76.33333333333333
2,75.66666666666667
3,75.0
4,70.53333333333333
5,66.06666666666666
6,61.6
7,57.13333333333333
8,52.666666666666664
9,48.2
10,43.733333333333334
11,39.266666666666666
12,34.8
13,30.33333333333333
14,25.866666666666667
15,21.4
16,16.93333333333333
17,12.466666666666669
18,8.0
19,26.5
20,28.5
21,28.200000000000003
22,32.5
23,36.0
24,38.5
25,41.0
26,43.0
27,45.5
28,47.5
29,49.0
30,50.5
31,52.0
32,53.0
33,55.0
34,56.0
35,57.0
36,58.5
37,59.5
38,60.5
39,61.5
40,62.5
41,63.5
42,64.16666666666667
43,64.83333333333333
44,65.5
45,66.5
46,67.5
47,68.0
48,68.5
49,69.5
50,70.0
51,70.5
52,71.5
53,72.0
54,72.5
55,73.0
56,74.0
57,74.5
58,75.0
59,75.5
60,76.0
61,76.5
62,77.0
63,77.5
64,77.83333333333333
65,78.25
66,78.75
67,79.25
68,79.75
69,80.16666666666667
70,80.5
71,80.83333333333333
72,81.25
73,81.75
74,82.2
75,82.6
76,83.0
77,83.33333333333333
78,83.66666666666667
79,84.0
80,84.4
81,84.8
82,85.16666666666667
83,85.5
84,85.75
85,86.0
86,86.33333333333333
87,86.66666666666667
88,87.0
89,87.33333333333333
90,87.66666666666667
91,88.0
92,88.33333333333333
93,88.66666666666667
94,89.0
95,89.28571428571429
96,89.57142857142857
97,89.85714285714286
98,90.14285714285714
99,90.42857142857143
100,90.71428571428571
101,91.0
102,91.25
103,91.5
104,91.75
105,92.0
106,92.25
107,92.5
108,92.75
109,93.0
110,93.25
111,93.5
112,93.7
113,93.9
114,94.125
115,94.375
116,94.625
117,94.875
118,95.1
119,95.3
120,95.5
121,95.7
122,95.9
123,96.125
124,96.375
125,96.625
126,96.875
127,97.1
128,97.3
129,97.5
130,97.7
131,97.9
132,98.1
133,98.3
134,98.5
135,98.75
136,99.0
137,88.125
138,77.25
139,83.46428571428571
140,89.67857142857143
141,95.89285714285714
142,99.0
143,99.0
144,99.0
145,99.0
146,99.0
147,99.0
148,99.0
149,99.0
150,99.0
151,99.0
152,99.0
153,99.0
154,99.0
155,99.0
156,99.0
157,99.0
158,99.0
159,99.0
160,99.0
161,99.0
162,99.0
163,99.0
164,99.0
165,99.0
166,99.0
167,99.0
168,99.0
169,99.0
170,99.0
171,99.0
172,99.0
173,99.0
174,99.0
175,99.0
176,99.0
177,99.0
178,99.0
179,99.0
180,99.0
181,99.0
182,99.0
183,99.0
184,99.0
185,99.0
186,99.0
187,99.0
188,99.0
189,99.0
190,99.0
191,99.0
192,99.0
193,99.0
194,99.0
195,99.0
196,99.0
197,99.0
198,99.0
199,99.0
200,99.0
201,99.0
202,99.0
203,99.0
204,99.0
205,99.0
206,99.0
207,99.0
208,99.0
209,99.0
210,99.0
211,99.0
212,99.0
213,99.0
214,99.0
215,99.0
216,99.0
217,99.0
218,99.0
219,99.0
220,99.0
221,99.0
222,99.0
223,99.0
224,99.0
225,99.0
226,99.0
227,99.0
228,99.0
229,99.0
230,99.0
231,99.0
232,99.0
233,99.0
234,99.0
235,99.0
236,99.0
237,99.0
238,99.0
239,99.0
240,99.0
241,99.0
242,99.0
243,99.0
244,99.0
245,99.0
246,99.0
247,99.0
248,99.0
249,99.0
250,98.92857142857143
251,98.78571428571429
252,98.64285714285714
253,98.5
254,97.5
255,97.0
256,96.5
257,96.0
258,95.5
259,95.0
260,94.5
261,94.0
262,93.5
263,93.0
264,92.33333333333333
265,91.66666666666667
266,91.0
267,90.5
268,90.0
269,89.5
270,89.0
271,88.5
272,88.0
273,87.33333333333333
274,86.66666666666667
275,86.0
276,85.5
277,85.0
278,84.5
279,84.0
280,83.5
281,83.0
282,82.0
283,81.5
284,81.0
285,80.5
286,80.0
287,79.5
288,79.0
289,78.0
290,77.5
291,77.0
292,76.5
293,76.0
294,75.0
295,74.5
296,74.0
297,73.5
298,73.0
299,72.0
300,71.5
301,71.0
302,70.5
303,70.0
304,69.0
305,68.5
306,68.0
307,67.5
308,67.0
309,66.0
310,65.5
311,65.0
312,64.5
313,63.5
314,63.0
315,62.5
316,62.0
317,61.0
318,60.5
319,60.0
320,59.5
321,58.5
322,58.0
323,57.5
324,56.5
325,56.0
326,55.5
327,54.5
328,54.0
329,53.5
330,52.5
331,52.0
332,51.5
333,50.5
334,50.0
335,49.5
336,48.5
337,48.0
338,47.5
339,46.5
340,46.0
341,45.5
342,44.5
343,44.0
344,43.5
345,42.5
346,42.0
347,41.5
348,40.5
349,40.0
350,39.0
351,38.5
352,37.5
353,37.0
354,36.5
355,35.5
356,35.0
357,34.5
358,33.5
359,32.5
360,32.0
361,31.5
362,30.5
363,29.5
364,29.0
365,28.5
366,27.5
367,26.5
368,18.200000000000003
