,y
0,26.55
1,26.65
2,26.75
3,26.85
4,26.95
5,27.0
6,27.0
7,27.0
8,27.0
9,27.083333333333332
10,27.25
11,27.416666666666668
12,27.55
13,27.65
14,27.75
15,27.85
16,27.95
17,28.0
18,28.0
19,28.0
20,28.0
21,28.1
22,28.3
23,28.5
24,28.61111111111111
25,28.72222222222222
26,28.833333333333332
27,28.944444444444443
28,29.0
29,29.0
30,29.0
31,29.0
32,29.25
33,29.5
34,29.625
35,29.75
36,29.875
37,30.0
38,30.142857142857142
39,30.285714285714285
40,30.428571428571427
41,30.5625
42,30.6875
43,30.8125
44,30.9375
45,31.0625
46,31.1875
47,31.3125
48,31.4375
49,31.571428571428573
50,31.714285714285715
51,31.857142857142858
52,32.0
53,32.142857142857146
54,32.285714285714285
55,32.42857142857143
56,32.583333333333336
57,32.75
58,32.916666666666664
59,33.1
60,33.3
61,33.5
62,33.666666666666664
63,33.833333333333336
64,34.0
65,34.166666666666664
66,34.333333333333336
67,34.5
68,34.7
69,34.9
70,35.1
71,35.3
72,35.5
73,35.75
74,36.0
75,36.25
76,36.5
77,36.75
78,37.0
79,37.285714285714285
80,37.57142857142857
81,37.857142857142854
82,38.2
83,38.6
84,39.0
85,38.5
86,39.5
87,40.0
88,40.5
89,41.5
90,42.0
91,42.5
92,43.5
93,44.0
94,44.5
95,45.5
96,46.0
97,47.0
98,47.5
99,48.5
100,49.0
101,49.5
102,50.5
103,51.0
104,51.5
105,52.5
106,53.0
107,53.5
108,54.5
109,55.0
110,55.5
111,56.5
112,57.0
113,58.0
114,58.5
115,59.0
116,60.0
117,60.5
118,61.5
119,62.0
120,62.5
121,63.5
122,64.0
123,64.5
124,65.5
125,66.0
126,66.5
127,67.5
128,68.0
129,68.5
130,69.5
131,70.0
132,71.0
133,71.5
134,72.5
135,73.0
136,73.5
137,74.5
138,75.0
139,75.5
140,76.5
141,77.0
142,77.5
143,78.5
144,79.0
145,79.5
146,80.5
147,81.0
148,81.5
149,82.5
150,83.0
151,84.0
152,84.5
153,85.5
154,86.0
155,86.5
156,87.5
157,88.0
158,88.5
159,89.5
160,90.0
161,90.5
162,91.5
163,92.0
164,92.5
165,93.5
166,94.0
167,95.0
168,95.5
169,96.5
170,97.0
171,97.5
172,98.0
173,98.5
174,98.0
175,97.0
176,96.5
177,96.0
178,95.0
179,94.5
180,94.0
181,93.33333333333333
182,92.66666666666667
183,92.0
184,91.5
185,91.0
186,90.33333333333333
187,89.75
188,89.25
189,88.75
190,88.25
191,87.75
192,87.25
193,86.75
194,86.25
195,85.8
196,85.4
197,85.0
198,84.6
199,84.2
200,83.8
201,83.4
202,83.0
203,82.6
204,82.2
205,81.8
206,81.4
207,81.0
208,80.66666666666667
209,80.33333333333333
210,80.0
211,79.66666666666667
212,79.33333333333333
213,79.0
214,78.66666666666667
215,78.33333333333333
216,78.0
217,77.71428571428571
218,77.42857142857143
219,77.14285714285714
220,76.85714285714286
221,76.57142857142857
222,76.28571428571429
223,76.0
224,75.71428571428571
225,75.42857142857143
226,75.14285714285714
227,74.9
228,74.7
229,74.5
230,74.25
231,74.0
232,73.75
233,73.5
234,73.25
235,73.0
236,72.75
237,72.5
238,72.25
239,72.0
240,71.75
241,71.5
242,71.3
243,71.1
244,70.9
245,70.7
246,70.5
247,70.25
248,70.0
249,69.8
250,69.6
251,69.41666666666667
252,69.25
253,69.08333333333333
254,68.9
255,68.7
256,68.5
257,68.3
258,68.1
259,64.8
260,58.4
261,52.0
262,67.0
263,66.33333333333333
264,65.75
265,65.25
266,64.75
267,64.25
268,63.75
269,63.25
270,62.833333333333336
271,62.5
272,62.0
273,61.5
274,61.0
275,60.5
276,60.0
277,59.5
278,59.0
279,58.5
280,58.166666666666664
281,57.75
282,57.25
283,56.75
284,56.25
285,55.75
286,55.25
287,54.75
288,54.25
289,53.833333333333336
290,53.5
291,53.0
292,52.5
293,52.0
294,51.5
295,51.0
296,50.5
297,50.0
298,49.5
299,49.0
300,48.5
301,48.166666666666664
302,47.75
303,47.25
304,46.75
305,46.25
306,45.75
307,45.25
308,44.75
309,44.25
310,43.833333333333336
311,43.5
312,43.0
313,42.5
314,42.0
315,41.5
316,41.0
317,40.5
318,40.0
319,39.5
320,39.166666666666664
321,38.75
322,38.25
323,37.75
324,37.25
325,36.75
326,36.25
327,35.75
328,35.25
329,34.75
330,34.25
331,33.833333333333336
332,33.5
333,33.0
334,32.5
335,32.0
336,31.5
337,31.0
338,30.5
339,30.0
340,29.5
341,29.166666666666668
342,28.75
343,28.25
344,27.75
345,27.25
346,26.666666666666668
347,26.0
