,y
0,53.5
1,49.75
2,46.0
3,49.333333333333336
4,52.666666666666664
5,56.0
6,52.666666666666664
7,49.333333333333336
8,46.0
9,42.666666666666664
10,39.33333333333333
11,36.0
12,32.666666666666664
13,29.333333333333332
14,26.0
15,22.666666666666664
16,19.33333333333333
17,16.0
18,12.666666666666664
19,9.333333333333329
20,6.0
21,12.833333333333332
22,19.666666666666664
23,26.5
24,26.59090909090909
25,26.681818181818183
26,26.772727272727273
27,26.863636363636363
28,26.954545454545453
29,27.0
30,27.0
31,27.0
32,27.0
33,27.0
34,27.11111111111111
35,27.22222222222222
36,27.333333333333332
37,27.444444444444443
38,27.541666666666668
39,27.625
40,27.708333333333332
41,27.791666666666668
42,27.875
43,27.958333333333332
44,28.0
45,28.0
46,28.0
47,28.0
48,28.071428571428573
49,28.214285714285715
50,28.357142857142858
51,28.5
52,28.59090909090909
53,28.681818181818183
54,28.772727272727273
55,28.863636363636363
56,28.954545454545453
57,29.0
58,29.0
59,29.0
60,29.0
61,29.083333333333332
62,29.25
63,29.416666666666668
64,29.55
65,29.65
66,29.75
67,29.85
68,29.95
69,30.0
70,30.0
71,30.0
72,30.0
73,30.1
74,30.3
75,30.5
76,30.61111111111111
77,30.72222222222222
78,30.833333333333332
79,30.944444444444443
80,31.05
81,31.15
82,31.25
83,31.35
84,31.45
85,31.55
86,31.65
87,31.75
88,31.85
89,31.95
90,32.05555555555556
91,32.166666666666664
92,32.27777777777778
93,32.388888888888886
94,32.5
95,32.611111111111114
96,32.72222222222222
97,32.833333333333336
98,32.94444444444444
99,33.0625
100,33.1875
101,33.3125
102,33.4375
103,33.57142857142857
104,33.714285714285715
105,33.857142857142854
106,34.0
107,34.166666666666664
108,34.333333333333336
109,34.5
110,35.0
111,35.5
112,31.599999999999994
113,37.5
114,38.0
115,38.5
116,39.5
117,40.5
118,41.0
119,41.5
120,42.5
121,43.5
122,44.0
123,44.5
124,45.5
125,46.5
126,47.0
127,47.5
128,48.5
129,49.5
130,50.0
131,50.5
132,51.5
133,52.5
134,53.0
135,53.5
136,54.5
137,55.0
138,56.0
139,56.5
140,57.5
141,58.0
142,58.5
143,59.5
144,60.5
145,61.0
146,61.5
147,62.5
148,63.5
149,64.0
150,64.5
151,65.5
152,66.5
153,67.0
154,67.5
155,68.5
156,69.5
157,70.0
158,70.5
159,71.5
160,72.5
161,73.0
162,73.5
163,74.5
164,75.5
165,76.0
166,76.5
167,77.5
168,78.5
169,79.0
170,79.5
171,80.5
172,81.5
173,82.0
174,82.5
175,83.5
176,84.0
177,84.5
178,85.5
179,86.5
180,87.0
181,87.5
182,88.5
183,89.5
184,90.0
185,90.5
186,91.5
187,92.5
188,93.0
189,93.5
190,94.5
191,95.5
192,96.0
193,96.5
194,97.5
195,98.5
196,99.0
197,98.5
198,98.0
199,97.75
200,97.5
201,97.16666666666667
202,96.83333333333333
203,96.5
204,96.25
205,96.0
206,95.71428571428571
207,95.42857142857143
208,95.14285714285714
209,94.85714285714286
210,94.57142857142857
211,94.28571428571429
212,94.0
213,93.75
214,93.5
215,93.25
216,93.0
217,92.71428571428571
218,92.42857142857143
219,92.14285714285714
220,91.85714285714286
221,91.57142857142857
222,91.28571428571429
223,91.0
224,90.75
225,90.5
226,90.25
227,90.0
228,89.75
229,89.5
230,89.3
231,89.1
232,88.9
233,88.7
234,88.5
235,88.25
236,88.0
237,87.75
238,87.5
239,87.3
240,87.1
241,86.91666666666667
242,86.75
243,86.58333333333333
244,86.4
245,86.2
246,86.0
247,85.8
248,85.6
249,85.41666666666667
250,85.25
251,85.08333333333333
252,84.88888888888889
253,84.66666666666667
254,84.44444444444444
255,84.22222222222223
256,84.0
257,83.83333333333333
258,83.66666666666667
259,83.5
260,83.3
261,83.1
262,82.91666666666667
263,82.75
264,82.58333333333333
265,82.41666666666667
266,82.25
267,82.08333333333333
268,81.91666666666667
269,81.75
270,81.58333333333333
271,81.41666666666667
272,81.25
273,81.08333333333333
274,80.91666666666667
275,80.75
276,80.58333333333333
277,80.42857142857143
278,80.28571428571429
279,80.14285714285714
280,80.0
281,79.83333333333333
282,79.66666666666667
283,79.5
284,64.2
285,78.0
286,77.5
287,77.0
288,76.5
289,75.5
290,75.0
291,74.5
292,74.0
293,73.0
294,72.5
295,72.0
296,71.5
297,71.0
298,70.0
299,69.5
300,69.0
301,68.5
302,68.0
303,67.0
304,66.5
305,66.0
306,65.5
307,64.5
308,64.0
309,63.5
310,63.0
311,62.0
312,61.5
313,61.0
314,60.5
315,60.0
316,59.0
317,58.5
318,58.0
319,57.5
320,56.5
321,56.0
322,55.5
323,55.0
324,54.5
325,53.5
326,53.0
327,52.5
328,52.0
329,51.0
330,50.5
331,50.0
332,49.5
333,49.0
334,48.0
335,47.5
336,47.0
337,46.5
338,46.0
339,45.0
340,44.5
341,44.0
342,43.5
343,42.5
344,42.0
345,41.5
346,41.0
347,40.0
348,39.5
349,39.0
350,38.5
351,38.0
352,37.0
353,36.5
354,36.0
355,35.5
356,35.0
357,34.0
358,33.5
359,33.0
360,32.5
361,31.5
362,31.0
363,30.5
364,30.0
365,29.0
366,28.5
367,22.5
368,27.5
369,27.0
370,26.0
