,y
0,69.0
1,72.0
2,69.5
3,67.0
4,64.5
5,62.0
6,59.5
7,57.0
8,54.5
9,52.0
10,49.5
11,47.0
12,44.5
13,42.0
14,39.5
15,37.0
16,34.5
17,32.0
18,29.5
19,27.0
20,26.5
21,27.0
22,27.5
23,28.5
24,29.0
25,29.5
26,30.0
27,30.5
28,31.5
29,32.0
30,32.5
31,33.5
32,34.0
33,34.5
34,35.0
35,35.5
36,36.5
37,37.0
38,37.5
39,38.5
40,39.0
41,39.5
42,40.0
43,40.5
44,41.5
45,42.0
46,42.5
47,43.5
48,44.0
49,44.5
50,45.0
51,45.5
52,46.5
53,47.0
54,47.5
55,48.5
56,49.0
57,49.5
58,50.0
59,50.5
60,51.5
61,52.0
62,52.5
63,53.5
64,54.0
65,54.5
66,55.0
67,55.5
68,56.5
69,57.0
70,57.5
71,58.5
72,59.0
73,59.5
74,60.0
75,60.5
76,61.5
77,62.0
78,62.5
79,63.5
80,64.0
81,64.5
82,65.0
83,65.5
84,66.5
85,67.0
86,67.5
87,68.5
88,69.0
89,69.5
90,70.0
91,71.0
92,71.5
93,72.0
94,72.5
95,73.5
96,74.0
97,74.5
98,75.0
99,75.5
100,76.5
101,77.0
102,77.5
103,78.0
104,79.0
105,79.5
106,80.0
107,80.5
108,81.5
109,82.0
110,82.5
111,83.5
112,84.0
113,84.5
114,85.0
115,85.5
116,86.5
117,87.0
118,87.5
119,88.0
120,89.0
121,89.5
122,90.0
123,90.5
124,91.5
125,92.0
126,92.5
127,93.5
128,94.0
129,94.5
130,95.0
131,95.5
132,96.5
133,97.0
134,97.5
135,98.5
136,99.0
137,98.5
138,98.16666666666667
139,97.75
140,97.25
141,96.75
142,96.25
143,95.83333333333333
144,95.5
145,95.16666666666667
146,94.75
147,94.25
148,93.75
149,93.25
150,92.83333333333333
151,92.5
152,92.16666666666667
153,91.75
154,91.25
155,90.75
156,90.25
157,89.75
158,89.25
159,88.83333333333333
160,88.5
161,88.16666666666667
162,87.75
163,87.25
164,86.75
165,86.25
166,85.75
167,85.25
168,84.83333333333333
169,84.5
170,84.0
171,83.5
172,83.0
173,82.5
174,82.16666666666667
175,81.75
176,81.25
177,80.75
178,80.25
179,79.75
180,79.25
181,78.75
182,78.25
183,77.75
184,77.25
185,76.75
186,76.25
187,75.75
188,75.25
189,74.83333333333333
190,74.5
191,74.0
192,73.5
193,73.0
194,72.33333333333333
195,71.75
196,71.25
197,70.75
198,70.25
199,69.75
200,69.25
201,68.66666666666667
202,68.0
203,67.5
204,67.0
205,66.5
206,66.0
207,65.5
208,65.0
209,64.5
210,64.0
211,63.5
212,63.0
213,62.0
214,61.5
215,61.0
216,60.5
217,60.0
218,59.5
219,58.5
220,58.0
221,57.5
222,57.0
223,56.5
224,55.5
225,55.0
226,54.5
227,54.0
228,53.0
229,52.5
230,52.0
231,51.5
232,50.5
233,50.0
234,49.5
235,48.5
236,48.0
237,47.5
238,46.5
239,46.0
240,45.0
241,44.5
242,43.5
243,43.0
244,42.5
245,41.5
246,40.5
247,39.5
248,39.0
249,38.5
250,37.5
251,36.5
252,36.166666666666664
253,35.916666666666664
254,35.75
255,35.583333333333336
256,35.45
257,35.35
258,35.25
259,35.15
260,35.05
261,35.0
262,35.0
263,35.0
264,35.0
265,34.916666666666664
266,34.75
267,34.583333333333336
268,34.45
269,34.35
270,34.25
271,34.15
272,34.05
273,34.0
274,34.0
275,34.0
276,34.0
277,34.0
278,33.857142857142854
279,33.714285714285715
280,33.57142857142857
281,33.45
282,33.35
283,33.25
284,33.15
285,33.05
286,33.0
287,33.0
288,33.0
289,33.0
290,32.916666666666664
291,32.75
292,32.583333333333336
293,32.45
294,32.35
295,32.25
296,32.15
297,32.05
298,32.0
299,32.0
300,32.0
301,32.0
302,32.0
303,31.857142857142858
304,31.714285714285715
305,31.571428571428573
306,31.45
307,31.35
308,31.25
309,31.15
310,31.05
311,31.0
312,31.0
313,31.0
314,31.0
315,30.916666666666668
316,30.75
317,30.583333333333332
318,30.45
319,30.35
320,30.25
321,30.15
322,30.05
323,30.0
324,30.0
325,30.0
326,30.0
327,30.0
328,29.857142857142858
329,29.714285714285715
330,29.571428571428573
331,29.45
332,29.35
333,29.25
334,29.15
335,29.05
336,29.0
337,29.0
338,29.0
339,29.0
340,28.916666666666668
341,28.75
342,28.583333333333332
343,28.45
344,28.35
345,28.25
346,28.15
347,28.05
348,28.0
349,28.0
350,28.0
351,28.0
352,28.0
353,27.857142857142858
354,27.714285714285715
355,27.571428571428573
356,27.45
357,27.35
358,27.25
359,27.15
360,27.05
361,27.0
362,27.0
363,27.0
364,27.0
365,26.9
366,26.7
