,y
0,99.0
1,99.0
2,99.0
3,99.0
4,99.0
5,99.0
6,99.0
7,99.0
8,99.0
9,99.0
10,99.0
11,99.0
12,99.0
13,99.0
14,99.0
15,99.0
16,99.0
17,99.0
18,99.0
19,99.0
20,99.0
21,99.0
22,99.0
23,99.0
24,99.0
25,99.0
26,99.0
27,99.0
28,99.0
29,99.0
30,99.0
31,99.0
32,99.0
33,99.0
34,99.0
35,99.0
36,99.0
37,99.0
38,99.0
39,99.0
40,99.0
41,99.0
42,99.0
43,99.0
44,99.0
45,99.0
46,99.0
47,99.0
48,99.0
49,99.0
50,99.0
51,99.0
52,99.0
53,99.0
54,99.0
55,99.0
56,99.0
57,99.0
58,99.0
59,99.0
60,99.0
61,99.0
62,99.0
63,99.0
64,99.0
65,99.0
66,99.0
67,99.0
68,99.0
69,99.0
70,99.0
71,99.0
72,99.0
73,99.0
74,99.0
75,99.0
76,99.0
77,99.0
78,99.0
79,99.0
80,99.0
81,99.0
82,99.0
83,99.0
84,98.83333333333333
85,98.66666666666667
86,98.5
87,98.0
88,97.5
89,97.16666666666667
90,96.75
91,96.25
92,95.75
93,95.25
94,94.75
95,94.25
96,93.83333333333333
97,93.5
98,93.0
99,92.5
100,92.0
101,91.5
102,91.0
103,90.5
104,90.0
105,89.5
106,89.0
107,88.33333333333333
108,87.75
109,87.25
110,86.66666666666667
111,86.0
112,85.5
113,85.0
114,84.5
115,84.0
116,83.0
117,82.5
118,82.0
119,81.5
120,81.0
121,80.0
122,79.5
123,79.0
124,78.0
125,77.5
126,77.0
127,76.5
128,75.5
129,74.5
130,74.0
131,73.5
132,72.5
133,71.83333333333333
134,71.16666666666667
135,70.5
136,69.5
137,68.5
138,67.83333333333333
139,67.16666666666667
140,66.5
141,65.5
142,64.5
143,63.5
144,62.5
145,61.5
146,60.5
147,59.5
148,59.0
149,58.0
150,57.0
151,55.5
152,54.5
153,53.5
154,52.5
155,51.5
156,50.0
157,49.0
158,48.0
159,47.0
160,45.0
161,44.0
162,43.0
163,41.0
164,40.0
165,38.0
166,36.5
167,35.0
168,33.5
169,31.5
170,29.5
171,28.0
172,27.0
173,26.857142857142858
174,26.714285714285715
175,26.571428571428573
176,26.5
177,26.5
178,26.5
179,26.5
180,26.5
181,26.5
182,26.5
183,26.5
184,26.5
185,26.5
186,26.5
187,26.5
188,26.5
189,26.5
190,26.5
191,26.5
192,26.5
193,26.5
194,26.5
195,26.5
196,26.5
197,26.5
198,26.5
199,26.5
200,26.5
201,26.5
202,26.5
203,26.5
204,26.5
205,26.5
206,26.5
207,26.5
208,26.5
209,26.5
210,26.5
211,26.5
212,26.5
213,26.5
214,26.5
215,26.5
216,26.5
217,26.5
218,26.5
219,26.5
220,26.5
221,26.5
222,26.5
223,26.5
224,26.5
225,26.5
226,26.5
227,26.5
228,26.5
229,26.5
230,26.5
231,26.5
232,26.5
233,26.5
234,26.5
235,26.5
236,26.5
237,26.5
238,26.5
239,26.5
240,26.5
241,26.5
242,26.5
243,26.5
244,26.5
245,26.5
246,26.5
247,26.5
248,26.5
249,26.5
250,26.5
251,26.5
252,26.5
253,26.5
254,26.5
255,26.5
256,26.5
257,26.5
258,27.0
259,27.5
260,29.0
261,30.5
262,32.5
263,34.5
264,36.0
265,37.5
266,39.0
267,40.5
268,42.0
269,43.0
270,45.0
271,46.0
272,47.0
273,48.5
274,50.0
275,51.0
276,52.0
277,53.0
278,54.5
279,55.5
280,56.5
281,57.5
282,58.5
283,59.5
284,60.5
285,61.5
286,62.5
287,63.5
288,64.16666666666667
289,64.83333333333333
290,65.5
291,66.5
292,67.5
293,68.5
294,69.5
295,70.0
296,70.5
297,71.5
298,72.5
299,73.0
300,73.5
301,74.5
302,75.5
303,76.0
304,76.5
305,77.5
306,78.0
307,78.5
308,79.0
309,80.0
310,80.5
311,81.0
312,82.0
313,82.5
314,83.0
315,83.5
316,84.0
317,84.66666666666667
318,85.33333333333333
319,86.0
320,86.5
321,87.0
322,87.5
323,88.0
324,88.5
325,89.0
326,89.5
327,90.0
328,90.66666666666667
329,91.25
330,91.75
331,92.25
332,92.75
333,93.25
334,93.75
335,94.16666666666667
336,94.5
337,95.0
338,95.5
339,96.0
340,96.5
341,96.83333333333333
342,97.25
343,97.75
344,98.25
345,98.75
346,98.66666666666667
