,y
0,53.5
1,49.75
2,46.0
3,50.0
4,50.75
5,51.5
6,48.46666666666667
7,45.43333333333334
8,42.4
9,39.36666666666667
10,36.333333333333336
11,33.3
12,30.266666666666666
13,27.233333333333334
14,24.200000000000003
15,21.166666666666668
16,18.133333333333333
17,15.100000000000001
18,12.06666666666667
19,9.033333333333331
20,6.0
21,11.857142857142858
22,17.714285714285715
23,23.57142857142857
24,26.5
25,26.5
26,26.5
27,26.5
28,26.5
29,26.5
30,26.5
31,26.5
32,26.5
33,26.5
34,26.5625
35,26.6875
36,26.8125
37,26.9375
38,27.0
39,27.0
40,27.0
41,27.0
42,27.0
43,27.0
44,27.0
45,27.0
46,27.0
47,27.0
48,27.0
49,27.0
50,27.0
51,27.0
52,27.0
53,27.0
54,27.0
55,27.0
56,27.0
57,27.0
58,27.0
59,27.0
60,27.0
61,27.0
62,27.0
63,27.0
64,27.0
65,27.0
66,27.0
67,27.11111111111111
68,27.22222222222222
69,27.333333333333332
70,27.444444444444443
71,27.5
72,27.5
73,27.5
74,27.5
75,27.5
76,27.5
77,27.5
78,27.5
79,27.5
80,27.5
81,27.642857142857142
82,27.785714285714285
83,27.928571428571427
84,28.0
85,28.0
86,28.0
87,28.0
88,28.0
89,28.0
90,28.0
91,28.0
92,28.0
93,28.0
94,28.0
95,28.125
96,28.25
97,28.375
98,28.5
99,28.59090909090909
100,28.681818181818183
101,28.772727272727273
102,28.863636363636363
103,28.954545454545453
104,29.0
105,29.0
106,29.0
107,29.0
108,23.5
109,29.5
110,30.5
111,31.0
112,27.599999999999994
113,32.5
114,33.5
115,34.166666666666664
116,34.833333333333336
117,35.5
118,36.5
119,37.5
120,38.5
121,39.0
122,39.5
123,40.5
124,41.5
125,42.5
126,43.0
127,43.5
128,44.5
129,45.5
130,46.5
131,47.0
132,47.5
133,48.5
134,49.5
135,50.5
136,51.0
137,51.5
138,52.5
139,53.5
140,54.5
141,55.0
142,55.5
143,56.5
144,57.5
145,58.5
146,59.0
147,59.5
148,60.5
149,61.5
150,62.5
151,63.0
152,63.5
153,64.5
154,65.5
155,66.5
156,67.0
157,67.5
158,68.5
159,69.5
160,70.5
161,71.0
162,71.5
163,72.5
164,73.5
165,74.5
166,75.0
167,75.5
168,76.5
169,77.5
170,78.5
171,79.0
172,79.5
173,80.5
174,81.5
175,82.5
176,83.0
177,83.5
178,84.5
179,85.5
180,86.5
181,87.0
182,87.5
183,88.5
184,89.5
185,90.5
186,91.0
187,91.5
188,92.5
189,93.5
190,94.5
191,95.0
192,95.5
193,96.5
194,97.5
195,81.0
196,98.5
197,97.5
198,74.0
199,96.5
200,95.5
201,95.0
202,94.0
203,93.5
204,93.0
205,92.5
206,92.0
207,91.5
208,91.0
209,90.5
210,90.0
211,89.5
212,89.16666666666667
213,88.8
214,88.4
215,88.0
216,87.66666666666667
217,87.33333333333333
218,87.0
219,86.66666666666667
220,86.33333333333333
221,86.0
222,85.66666666666667
223,85.33333333333333
224,85.0
225,84.75
226,84.5
227,84.25
228,84.0
229,83.75
230,83.5
231,83.25
232,83.0
233,82.75
234,82.5
235,82.3
236,82.1
237,81.9
238,81.7
239,81.5
240,81.3
241,81.1
242,80.9
243,80.7
244,80.5
245,80.3
246,80.1
247,79.91666666666667
248,79.75
249,79.58333333333333
250,79.42857142857143
251,79.28571428571429
252,79.14285714285714
253,79.0
254,78.83333333333333
255,78.66666666666667
256,78.5
257,78.33333333333333
258,78.16666666666667
259,78.0
260,77.85714285714286
261,77.71428571428571
262,77.57142857142857
263,77.4375
264,77.3125
265,77.1875
266,77.0625
267,76.9375
268,76.8125
269,76.6875
270,76.5625
271,76.4375
272,76.3125
273,76.1875
274,76.0625
275,75.94444444444444
276,75.83333333333333
277,75.72222222222223
278,75.61111111111111
279,75.5
280,66.75
281,58.0
282,75.0
283,57.75
284,52.666666666666664
285,74.0
286,73.0
287,72.5
288,72.0
289,71.5
290,71.0
291,70.5
292,70.0
293,69.5
294,69.0
295,68.0
296,67.5
297,67.0
298,66.5
299,66.0
300,65.5
301,65.0
302,64.33333333333333
303,63.666666666666664
304,63.0
305,62.5
306,62.0
307,61.5
308,61.0
309,60.5
310,60.0
311,59.0
312,58.5
313,58.0
314,57.5
315,57.0
316,56.5
317,56.0
318,55.5
319,55.0
320,54.0
321,53.5
322,53.0
323,52.5
324,52.0
325,51.5
326,51.0
327,50.333333333333336
328,49.666666666666664
329,49.0
330,48.5
331,48.0
332,47.5
333,47.0
334,46.5
335,46.0
336,45.0
337,44.5
338,44.0
339,43.5
340,43.0
341,42.5
342,42.0
343,41.5
344,41.0
345,40.0
346,39.5
347,39.0
348,38.5
349,38.0
350,37.5
351,37.0
352,36.333333333333336
353,35.666666666666664
354,35.0
355,34.5
356,34.0
357,33.5
358,33.0
359,32.5
360,32.0
361,31.0
362,30.5
363,30.0
364,29.5
365,29.0
366,28.5
367,22.5
368,27.5
369,27.0
370,26.0
