,y
0,77.0
1,74.41025641025641
2,71.82051282051282
3,69.23076923076923
4,66.64102564102564
5,64.05128205128204
6,61.46153846153846
7,58.871794871794876
8,56.282051282051285
9,53.69230769230769
10,51.1025641025641
11,48.51282051282051
12,45.92307692307692
13,43.33333333333333
14,40.743589743589745
15,38.15384615384615
16,35.56410256410256
17,32.97435897435897
18,30.38461538461538
19,27.794871794871796
20,26.833333333333332
21,27.5
22,29.0
23,30.5
24,32.0
25,33.0
26,34.5
27,36.0
28,37.0
29,38.5
30,39.5
31,40.5
32,42.0
33,43.0
34,44.0
35,44.5
36,46.5
37,47.0
38,48.0
39,48.5
40,49.5
41,50.5
42,51.5
43,52.5
44,53.5
45,54.5
46,55.166666666666664
47,55.833333333333336
48,56.5
49,57.5
50,58.5
51,59.0
52,59.5
53,60.5
54,61.0
55,62.0
56,62.5
57,63.5
58,64.0
59,64.5
60,65.5
61,66.0
62,66.5
63,67.5
64,68.0
65,68.5
66,69.0
67,69.5
68,70.5
69,71.0
70,71.5
71,72.0
72,72.5
73,73.0
74,73.5
75,74.0
76,74.66666666666667
77,75.25
78,75.75
79,76.25
80,76.75
81,77.25
82,77.75
83,78.25
84,78.75
85,79.25
86,79.75
87,80.25
88,80.75
89,81.25
90,81.75
91,82.16666666666667
92,82.5
93,83.0
94,83.5
95,83.83333333333333
96,84.25
97,84.75
98,85.2
99,85.6
100,86.0
101,86.4
102,86.8
103,87.2
104,87.6
105,88.0
106,88.4
107,88.8
108,89.2
109,89.6
110,90.0
111,90.33333333333333
112,90.66666666666667
113,91.0
114,91.4
115,91.8
116,92.16666666666667
117,92.5
118,92.83333333333333
119,93.2
120,93.6
121,94.0
122,94.33333333333333
123,94.66666666666667
124,95.0
125,95.33333333333333
126,95.66666666666667
127,96.0
128,96.33333333333333
129,96.66666666666667
130,97.0
131,97.33333333333333
132,97.66666666666667
133,98.0
134,98.33333333333333
135,98.66666666666667
136,99.0
137,88.125
138,77.25
139,83.46428571428571
140,89.67857142857143
141,95.89285714285714
142,99.0
143,99.0
144,99.0
145,99.0
146,99.0
147,99.0
148,99.0
149,99.0
150,99.0
151,99.0
152,99.0
153,99.0
154,99.0
155,99.0
156,99.0
157,99.0
158,99.0
159,99.0
160,99.0
161,99.0
162,99.0
163,99.0
164,99.0
165,99.0
166,99.0
167,99.0
168,99.0
169,99.0
170,99.0
171,99.0
172,99.0
173,99.0
174,99.0
175,99.0
176,99.0
177,99.0
178,99.0
179,99.0
180,99.0
181,99.0
182,99.0
183,99.0
184,99.0
185,99.0
186,99.0
187,99.0
188,99.0
189,99.0
190,99.0
191,99.0
192,99.0
193,99.0
194,99.0
195,99.0
196,99.0
197,99.0
198,99.0
199,99.0
200,99.0
201,99.0
202,99.0
203,99.0
204,99.0
205,99.0
206,99.0
207,99.0
208,99.0
209,99.0
210,99.0
211,99.0
212,99.0
213,99.0
214,99.0
215,99.0
216,99.0
217,99.0
218,99.0
219,99.0
220,99.0
221,99.0
222,99.0
223,99.0
224,99.0
225,99.0
226,99.0
227,99.0
228,99.0
229,99.0
230,99.0
231,99.0
232,99.0
233,99.0
234,99.0
235,99.0
236,99.0
237,99.0
238,99.0
239,99.0
240,99.0
241,99.0
242,99.0
243,99.0
244,99.0
245,99.0
246,99.0
247,99.0
248,99.0
249,99.0
250,98.92857142857143
251,98.78571428571429
252,98.64285714285714
253,98.5
254,98.0
255,97.33333333333333
256,96.75
257,96.25
258,95.75
259,95.25
260,94.75
261,94.25
262,93.75
263,93.25
264,92.75
265,92.25
266,91.75
267,91.25
268,90.75
269,90.25
270,89.75
271,89.25
272,88.66666666666667
273,88.0
274,87.5
275,87.0
276,86.5
277,86.0
278,85.5
279,85.0
280,84.5
281,84.0
282,83.5
283,83.0
284,82.33333333333333
285,81.66666666666667
286,81.0
287,80.5
288,80.0
289,79.5
290,79.0
291,78.5
292,78.0
293,77.0
294,76.5
295,76.0
296,75.5
297,75.0
298,74.5
299,74.0
300,73.0
301,72.5
302,72.0
303,71.5
304,71.0
305,70.0
306,69.5
307,69.0
308,68.5
309,68.0
310,67.0
311,66.5
312,66.0
313,65.5
314,64.5
315,64.0
316,63.5
317,63.0
318,62.0
319,61.5
320,61.0
321,60.5
322,59.5
323,59.0
324,58.5
325,57.5
326,57.0
327,56.5
328,55.5
329,55.0
330,54.5
331,53.5
332,53.0
333,52.5
334,51.5
335,51.0
336,50.5
337,49.5
338,49.0
339,48.5
340,47.5
341,46.5
342,46.0
343,45.5
344,44.5
345,44.0
346,43.5
347,42.5
348,41.5
349,41.0
350,40.5
351,39.5
352,38.5
353,38.0
354,37.5
355,36.5
356,35.5
357,34.833333333333336
358,34.166666666666664
359,33.5
360,32.5
361,31.5
362,31.0
363,30.5
364,29.5
365,28.5
366,27.5
367,26.5
368,22.599999999999994
