,y
0,50.0
1,48.5
2,47.0
3,50.21875
4,53.4375
5,56.65625
6,59.875
7,63.09375
8,66.3125
9,69.53125
10,72.75
11,75.96875
12,79.1875
13,82.40625
14,85.625
15,88.84375
16,92.0625
17,95.28125
18,98.5
19,99.0
20,98.5
21,97.5
22,97.0
23,96.5
24,96.0
25,95.33333333333333
26,94.75
27,94.25
28,93.75
29,93.25
30,92.75
31,92.25
32,91.83333333333333
33,91.5
34,91.16666666666667
35,90.8
36,90.4
37,90.0
38,89.66666666666667
39,89.33333333333333
40,89.0
41,88.66666666666667
42,88.33333333333333
43,88.0
44,87.71428571428571
45,87.42857142857143
46,87.14285714285714
47,86.85714285714286
48,86.57142857142857
49,86.28571428571429
50,86.0
51,85.75
52,85.5
53,85.25
54,85.0
55,84.75
56,84.5
57,84.3
58,84.1
59,83.9
60,83.7
61,83.5
62,83.3
63,83.1
64,82.9
65,82.7
66,82.5
67,82.3
68,82.1
69,81.9
70,81.7
71,81.5
72,81.33333333333333
73,81.16666666666667
74,81.0
75,80.83333333333333
76,80.66666666666667
77,80.5
78,80.33333333333333
79,80.16666666666667
80,80.0
81,79.85714285714286
82,79.71428571428571
83,79.57142857142857
84,79.42857142857143
85,79.28571428571429
86,79.14285714285714
87,79.0
88,78.85714285714286
89,78.71428571428571
90,78.57142857142857
91,78.4375
92,78.3125
93,78.1875
94,78.0625
95,77.9375
96,77.8125
97,77.6875
98,77.5625
99,77.42857142857143
100,77.28571428571429
101,77.14285714285714
102,77.0
103,71.16666666666667
104,65.33333333333333
105,59.5
106,76.5
107,76.0
108,75.5
109,59.25
110,74.5
111,73.5
112,73.0
113,72.5
114,72.0
115,71.5
116,71.0
117,70.0
118,69.5
119,69.0
120,68.5
121,68.0
122,67.5
123,67.0
124,66.0
125,65.5
126,65.0
127,64.5
128,64.0
129,63.5
130,63.0
131,62.0
132,61.5
133,61.0
134,60.5
135,60.0
136,59.5
137,59.0
138,58.0
139,57.5
140,57.0
141,56.5
142,56.0
143,55.0
144,54.5
145,54.0
146,53.5
147,53.0
148,52.5
149,52.0
150,51.0
151,50.5
152,50.0
153,49.5
154,49.0
155,48.5
156,48.0
157,47.0
158,46.5
159,46.0
160,45.5
161,45.0
162,44.5
163,44.0
164,43.0
165,42.5
166,42.0
167,41.5
168,41.0
169,40.0
170,39.5
171,39.0
172,38.5
173,38.0
174,37.5
175,37.0
176,36.0
177,35.5
178,35.0
179,34.5
180,34.0
181,33.5
182,33.0
183,32.0
184,31.5
185,31.0
186,30.5
187,30.0
188,29.5
189,29.0
190,28.0
191,24.0
192,23.0
193,25.333333333333332
194,24.11111111111111
195,19.33333333333333
196,26.5
197,26.642857142857142
198,26.785714285714285
199,26.928571428571427
200,27.0
201,27.0
202,27.0
203,27.0
204,27.0
205,27.0
206,27.041666666666668
207,27.125
208,27.208333333333332
209,27.291666666666668
210,27.375
211,27.458333333333332
212,27.541666666666668
213,27.625
214,27.708333333333332
215,27.791666666666668
216,27.875
217,27.958333333333332
218,28.0
219,28.0
220,28.0
221,28.0
222,28.0
223,28.0625
224,28.1875
225,28.3125
226,28.4375
227,28.55
228,28.65
229,28.75
230,28.85
231,28.95
232,29.0
233,29.0
234,29.0
235,29.0
236,29.0
237,29.166666666666668
238,29.333333333333332
239,29.5
240,29.61111111111111
241,29.72222222222222
242,29.833333333333332
243,29.944444444444443
244,30.0
245,30.0
246,30.0
247,30.0
248,30.25
249,30.5
250,30.61111111111111
251,30.72222222222222
252,30.833333333333332
253,30.944444444444443
254,31.0625
255,31.1875
256,31.3125
257,31.4375
258,31.571428571428573
259,31.714285714285715
260,31.857142857142858
261,32.0
262,32.166666666666664
263,32.333333333333336
264,32.5
265,32.666666666666664
266,32.833333333333336
267,33.0
268,33.166666666666664
269,33.333333333333336
270,33.5
271,33.7
272,33.9
273,34.142857142857146
274,34.42857142857143
275,34.714285714285715
276,35.0
277,31.5
278,28.0
279,36.0
280,28.5
281,25.799999999999997
282,37.5
283,38.5
284,39.0
285,39.5
286,40.5
287,41.5
288,42.0
289,42.5
290,43.5
291,44.0
292,44.5
293,45.5
294,46.5
295,47.0
296,47.5
297,48.5
298,49.5
299,50.0
300,50.5
301,51.5
302,52.0
303,52.5
304,53.5
305,54.5
306,55.0
307,55.5
308,56.5
309,57.5
310,58.0
311,58.5
312,59.5
313,60.0
314,60.5
315,61.5
316,62.5
317,63.0
318,63.5
319,64.5
320,65.0
321,66.0
322,66.5
323,67.5
324,68.0
325,68.5
326,69.5
327,70.5
328,71.0
329,71.5
330,72.5
331,73.0
332,74.0
333,74.5
334,75.5
335,76.0
336,76.5
337,77.5
338,78.5
339,79.0
340,79.5
341,80.5
342,81.0
343,81.5
344,82.5
345,83.5
346,84.0
347,84.5
348,85.5
349,86.5
350,87.0
351,87.5
352,88.5
353,89.0
354,89.5
355,90.5
356,91.5
357,92.0
358,92.5
359,93.5
360,94.5
361,95.0
362,95.5
363,96.5
364,97.0
365,97.5
366,98.5
367,98.83333333333333
