,y
0,53.5
1,56.0
2,46.0
3,50.0
4,50.75
5,51.5
6,48.46666666666667
7,45.43333333333334
8,42.4
9,39.36666666666667
10,36.333333333333336
11,33.3
12,30.266666666666666
13,27.233333333333334
14,24.200000000000003
15,21.166666666666668
16,18.133333333333333
17,15.100000000000001
18,12.06666666666667
19,9.033333333333331
20,6.0
21,98.5
22,99.0
23,98.5
24,97.5
25,96.5
26,96.0
27,95.5
28,94.5
29,94.0
30,93.0
31,92.5
32,92.0
33,91.5
34,91.0
35,90.5
36,90.0
37,89.5
38,89.16666666666667
39,88.75
40,88.25
41,87.8
42,87.4
43,87.0
44,86.66666666666667
45,86.33333333333333
46,86.0
47,85.66666666666667
48,85.33333333333333
49,85.0
50,84.66666666666667
51,84.33333333333333
52,84.0
53,83.66666666666667
54,83.33333333333333
55,83.0
56,82.71428571428571
57,82.42857142857143
58,82.14285714285714
59,81.875
60,81.625
61,81.375
62,81.125
63,80.875
64,80.625
65,80.375
66,80.125
67,79.9
68,79.7
69,79.5
70,79.3
71,79.1
72,78.9
73,78.7
74,78.5
75,78.3
76,78.1
77,77.9
78,77.7
79,77.5
80,77.3
81,77.1
82,76.91666666666667
83,76.75
84,76.58333333333333
85,76.41666666666667
86,76.25
87,76.08333333333333
88,75.91666666666667
89,75.75
90,75.58333333333333
91,75.42857142857143
92,75.28571428571429
93,75.14285714285714
94,75.0
95,74.85714285714286
96,74.71428571428571
97,74.57142857142857
98,74.42857142857143
99,74.28571428571429
100,74.14285714285714
101,74.0
102,73.85714285714286
103,73.71428571428571
104,73.57142857142857
105,73.375
106,73.125
107,64.06666666666666
108,46.2
109,57.0
110,72.5
111,56.0
112,56.25
113,71.0
114,70.33333333333333
115,69.66666666666667
116,69.0
117,68.5
118,68.0
119,67.5
120,67.0
121,66.5
122,66.0
123,65.5
124,65.0
125,64.5
126,64.0
127,63.333333333333336
128,62.75
129,62.25
130,61.666666666666664
131,61.0
132,60.5
133,60.0
134,59.5
135,59.0
136,58.5
137,58.0
138,57.5
139,57.0
140,56.5
141,56.0
142,55.333333333333336
143,54.75
144,54.25
145,53.666666666666664
146,53.0
147,52.5
148,52.0
149,51.5
150,51.0
151,50.5
152,50.0
153,49.5
154,49.0
155,48.5
156,48.0
157,47.333333333333336
158,46.666666666666664
159,46.0
160,45.5
161,45.0
162,44.5
163,44.0
164,43.5
165,43.0
166,42.5
167,42.0
168,41.5
169,41.0
170,40.333333333333336
171,39.75
172,39.25
173,38.666666666666664
174,38.0
175,37.5
176,37.0
177,36.5
178,36.0
179,35.5
180,35.0
181,34.5
182,34.0
183,33.5
184,33.0
185,32.333333333333336
186,31.75
187,31.25
188,30.666666666666668
189,30.0
190,29.5
191,29.0
192,28.5
193,28.0
194,27.5
195,23.0
196,23.599999999999994
197,26.5
198,19.33333333333333
199,26.5
200,26.642857142857142
201,26.785714285714285
202,26.928571428571427
203,27.0
204,27.0
205,27.0
206,27.0
207,27.0
208,27.0
209,27.0
210,27.0
211,27.0
212,27.0
213,27.0625
214,27.1875
215,27.3125
216,27.4375
217,27.5
218,27.5
219,27.5
220,27.5
221,27.642857142857142
222,27.785714285714285
223,27.928571428571427
224,28.0
225,28.0
226,28.0
227,28.0
228,28.0
229,28.0
230,28.1
231,28.2
232,28.3
233,28.4
234,28.5
235,28.59090909090909
236,28.681818181818183
237,28.772727272727273
238,28.863636363636363
239,28.954545454545453
240,29.0
241,29.0
242,29.0
243,29.0
244,29.083333333333332
245,29.25
246,29.416666666666668
247,29.55
248,29.65
249,29.75
250,29.85
251,29.95
252,30.0
253,30.0
254,30.0
255,30.0
256,30.25
257,30.5
258,30.61111111111111
259,30.72222222222222
260,30.833333333333332
261,30.944444444444443
262,31.0625
263,31.1875
264,31.3125
265,31.4375
266,31.571428571428573
267,31.714285714285715
268,31.857142857142858
269,32.0
270,32.166666666666664
271,32.333333333333336
272,32.5
273,32.7
274,32.9
275,33.1
276,33.3
277,33.5
278,33.75
279,34.0
280,30.625
281,27.25
282,35.0
283,27.75
284,26.66666666666667
285,36.5
286,37.5
287,38.0
288,38.5
289,39.5
290,40.5
291,41.0
292,41.5
293,42.5
294,43.5
295,44.0
296,44.5
297,45.5
298,46.5
299,47.0
300,47.5
301,48.5
302,49.0
303,50.0
304,50.5
305,51.5
306,52.0
307,52.5
308,53.5
309,54.5
310,55.0
311,55.5
312,56.5
313,57.5
314,58.0
315,58.5
316,59.5
317,60.5
318,61.0
319,61.5
320,62.5
321,63.0
322,64.0
323,64.5
324,65.5
325,66.0
326,66.5
327,67.5
328,68.5
329,69.0
330,69.5
331,70.5
332,71.5
333,72.0
334,72.5
335,73.5
336,74.5
337,75.0
338,75.5
339,76.5
340,77.5
341,78.0
342,78.5
343,79.5
344,80.0
345,80.5
346,81.5
347,82.5
348,83.0
349,83.5
350,84.5
351,85.5
352,86.0
353,86.5
354,87.5
355,88.5
356,89.0
357,89.5
358,90.5
359,91.5
360,92.0
361,92.5
362,93.5
363,94.0
364,94.5
365,95.5
366,96.5
367,74.25
368,97.5
369,98.5
370,98.83333333333333
